Source, Target
140136677,37774152
848325014,813286
848325014,1093090866
17036397,37774152
2617609317,8370082
17902389,1961794370
17902389,43638469
473436689,536089510
473436689,34280715
2787123007,1330457336
4458621,2400284491
4458621,1347783163
587752751,1468872631
369108702,20113797
23511188,731132367058968576
23511188,49698134
823738296,25073877
46381123,16051471
46381123,759251
269902419,242394241
269902419,16219502
269902419,92417373
269902419,756290324104900609
269902419,759251
1977277477,1339835893
236043672,1339835893
147248694,1339835893
147248694,111216929
147248694,25073877
21532452,14173315
14463995,22322730
23470695,26256260
23470695,210957036
29291847,14377605
29291847,232268199
110466097,60919240
557322775,22677427
598735549,9300262
2204005584,115979444
735907156646449152,9624742
735907156646449152,2359926157
735907156646449152,17629860
735907156646449152,25073877
1343315905,1166690726
3763675936,512225400
227901874,21447363
702914461871509504,25073877
702914461871509504,1339835893
702914461871509504,77764733
445614177,14377605
29093304,185759513
23966021,241056520
41949140,1429761
3761198835,409486555
18576377,216776631
64841234,1367531
160101485,1339835893
160101485,1330457336
226004652,216776631
226004652,1339835893
226004652,172858784
36845888,22872308
36845888,16834046
286618879,27658830
286618879,9567972
286618879,759251
286618879,42864649
286618879,15416505
286618879,753647772948127744
286618879,170861207
24206827,1339835893
24206827,25073877
3141672447,14943778
21052874,340613443
138889186,15675138
1476092322,1330457336
39162332,20713061
525880169,525880169
100536539,1543986138
100536539,267797273
150224923,33537967
32489102,15808765
32489102,357606935
32489102,409486555
1592049744,1339835893
322844485,3406247811
3895902672,1367531
3895902672,110445334
3895902672,23970102
3895902672,41634520
1556786912,970207298
1556786912,1536791610
2831939384,10229062
2831939384,2831939384
254098914,1330457336
2340716336,4541909188
928124150,941227472
928124150,2884373722
928124150,9300262
928124150,216776631
928124150,1339835893
14859966,80700514
686993,25073877
286618879,25073877
286618879,753647772948127744
286618879,15416505
286618879,281610530
22857056,1339835893
282222101,757303975
534240647,402801554
534240647,15808765
64014276,82447359
243112721,409486555
355823359,3342890469
41949140,20713061
46187856,28785486
25545254,25073877
14482396,33537967
1220741574,1339835893
286618879,72160645
609244293,243690703
609244293,80366372
1390461475,14529929
1390461475,13850422
1194711452,73177902
1194711452,581971753
238458783,115979444
238458783,14377605
26084664,1339835893
26084664,813286
65129573,15808765
420729299,25694156
20281955,21671585
3741114012,1339835893
3741114012,75069067
3741114012,1330457336
21693154,25073877
921680064,14244109
272537171,1339835893
468688142,15808765
17100556,1339835893
17100556,13971002
38049972,29442313
45292819,16129920
45292819,1339835893
26852376,50325797
26852376,25073877
26852376,1339835893
3040222025,1560909008
3040222025,21398055
12506632,29925305
12506632,17142193
3120746127,739022846
16221592,24840770
1190609964,231883139
2253721447,216776631
2253721447,3306315227
2253721447,3181099248
875855270,153486399
44320262,1339835893
44320262,3065753301
147172184,96685533
713893293743071232,14240875
4485030154,357606935
64928390,15808765
167241755,15808765
271793709,1330457336
105724783,914567454
3152540937,279057129
3152540937,1050111
629748481,294991606
629748481,26775504
629748481,71453676
629748481,21414576
629748481,19568591
629748481,196168350
629748481,14924233
18018946,118719917
2447644512,50769180
2447644512,3647423237
1049171,29442313
44495316,30364057
2193130324,428333
2193130324,759251
2193130324,2097571
310696491,23023236
154741306,139162440
405004997,3221357514
405004997,56413858
58601435,25073877
17579228,15808765
31536896,179297823
31536896,3876019454
54949405,350581464
54949405,40100270
630925853,15675138
4470633014,26637348
4470633014,1064206014
226325216,14437914
67929450,465046121
67929450,15675138
